Sample_Index,ADC_Value
0,1292
1,1399
2,1470
3,1440
4,1364
5,1405
6,1479
7,1462
8,1401
9,1440
10,1563
11,1584
12,1498
13,1485
14,1587
15,1627
16,1568
17,1535
18,1646
19,1690
20,1642
21,1600
22,1673
23,1728
24,1685
25,1651
26,1721
27,1781
28,1766
29,1726
30,1779
31,1843
32,1850
33,1808
34,1858
35,1957
36,1983
37,1932
38,1941
39,2034
40,2102
41,2053
42,2043
43,2139
44,2230
45,2193
46,2171
47,2254
48,2349
49,2318
50,2277
51,2338
52,2461
53,2443
54,2355
55,2367
56,2467
57,2448
58,2323
59,2295
60,2349
61,2291
62,2141
63,2038
64,2058
65,2000
66,1872
67,1772
68,1791
69,1771
70,1664
71,1565
72,1616
73,1675
74,1666
75,1622
76,1683
77,1735
78,1689
79,1616
80,1648
81,1716
82,1709
83,1645
84,1663
85,1745
86,1769
87,1713
88,1715
89,1799
90,1859
91,1807
92,1775
93,1854
94,1925
95,1869
96,1810
97,1867
98,1948
99,1899
100,1802
101,1837
102,1903
103,1838
104,1734
105,1758
106,1818
107,1802
108,1733
109,1743
110,1812
111,1831
112,1766
113,1767
114,1834
115,1894
116,1840
117,1821
118,0
119,1935
120,1877
121,1813
122,1848
123,1931
124,1877
125,0
126,1787
127,1875
128,1849
129,1744
130,1745
131,1807
132,1796
133,1734
134,1744
135,1811
136,1835
137,1791
138,1786
139,1873
140,1936
141,1877
142,1843
143,1904
144,1941
145,1878
146,1835
147,1904
148,2019
149,1995
150,1925
151,1968
152,2045
153,2001
154,1878
155,1890
156,1985
157,2022
158,1993
159,2017
160,2068
161,2032
162,1949
163,1920
164,1954
165,1983
166,1934
167,1899
168,1936
169,1990
170,1943
171,1873
172,1894
173,1979
174,1941
175,1845
176,1865
177,1953
178,1931
179,1830
180,1822
181,1879
182,1872
183,1797
184,1787
185,1830
186,1826
187,1840
188,2063
189,2559
190,3335
191,4095
192,4095
193,4095
194,4095
195,4095
196,3249
197,0
198,2185
199,1941
200,1840
201,1883
202,1999
203,1990
204,1895
205,1890
206,1947
207,1923
208,1870
209,1879
210,1955
211,1983
212,1931
213,1927
214,2004
215,2067
216,2003
217,1963
218,2029
219,2081
220,2032
221,2021
222,2092
223,2154
224,2101
225,2056
226,2096
227,2192
228,2173
229,2081
230,2081
231,2163
232,2159
233,2077
234,2078
235,2160
236,2191
237,2148
238,2153
239,2241
240,2321
241,2295
242,2305
243,2401
244,2474
245,0
246,2397
247,2462
248,2549
249,2517
250,2417
251,2448
252,2526
253,2517
254,2467
255,2509
256,2615
257,2640
258,2597
259,2559
260,2624
261,2599
262,2459
263,2348
264,2347
265,2278
266,0
267,2037
268,2075
269,2118
270,2021
271,1925
272,1935
273,1981
274,1899
275,1759
276,1767
277,1808
278,1776
279,1725
280,1759
281,1858
282,1874
283,1823
284,1827
285,1935
286,1941
287,1871
288,1840
289,1953
290,2019
291,1902
292,1805
293,1867
294,1904
295,1842
296,1773
297,1810
298,1856
299,1826
300,1787
301,1841
302,1951
303,1936
304,1871
305,1868
306,1951
307,1943
308,1865
309,1851
310,1961
311,1979
312,1857
313,0
314,1841
315,1843
316,1776
317,1729
318,1802
319,1835
320,1781
321,1740
322,1795
323,1872
324,1842
325,1797
